Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,51.049999,51.049999,51.049999,51.049999,29.263987,0
2001-01-02,52.450001,53.700001,50.5,51.700001,29.6366,123327
2001-01-03,51.200001,54.0,51.099998,53.200001,30.496464,165369
2001-01-04,54.700001,54.75,51.700001,53.400002,30.611111,387466
2001-01-05,53.099998,55.0,49.759998,51.0,29.235331,600703
2001-01-08,50.0,50.75,49.560001,50.0,28.662085,217065
2001-01-09,50.299999,50.400002,48.099998,49.450001,28.346804,201324
2001-01-10,49.299999,49.299999,47.029999,47.509998,27.234715,302193
2001-01-11,48.099998,48.439999,45.509998,45.75,26.225809,425497
2001-01-12,46.900002,47.459999,44.669998,46.080002,26.414984,873022
2001-01-15,47.5,48.700001,46.75,48.049999,27.54426,116261
2001-01-16,48.75,48.75,47.849998,48.299999,27.68758,138564
2001-01-17,47.900002,49.950001,47.900002,49.77,28.530237,176898
2001-01-18,49.619999,49.619999,48.810001,49.0,28.088839,196621
2001-01-19,49.150002,49.5,47.150002,47.77,27.383753,110145
2001-01-22,48.27,48.990002,46.049999,46.599998,26.71306,176905
2001-01-23,47.0,47.099998,46.009998,46.02,26.380587,254458
2001-01-24,46.02,46.02,46.02,46.02,26.380587,0
2001-01-25,45.68,47.099998,44.299999,44.299999,25.394613,354379
2001-01-26,44.299999,44.299999,44.299999,44.299999,25.394613,0
2001-01-29,44.98,44.98,42.75,43.889999,25.15958,357983
2001-01-30,44.150002,45.73,43.709999,45.73,26.214354,326365
2001-01-31,45.799999,46.5,44.75,45.540001,26.105431,322368
2001-02-01,44.560001,45.450001,43.25,44.299999,25.394613,362960
2001-02-02,44.299999,44.700001,43.0,43.0,24.649389,286566
2001-02-05,43.299999,45.200001,43.299999,44.099998,25.279961,444198
2001-02-06,44.5,45.700001,44.060001,44.400002,25.451935,376115
2001-02-07,45.0,45.189999,43.5,43.799999,25.107992,242467
2001-02-08,44.5,45.299999,44.0,45.0,25.795877,397646
2001-02-09,45.299999,46.400002,44.599998,45.790001,26.248743,317678
2001-02-12,46.450001,46.689999,44.599998,45.049999,25.824539,244134
2001-02-13,45.200001,46.689999,44.91,46.0,26.36912,235649
