Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,52.450001,53.700001,50.5,51.700001,29.6366,123327.0
2001-01-03,51.200001,54.0,51.099998,53.200001,30.496454,165369.0
2001-01-04,54.700001,54.75,51.700001,53.400002,30.611107,387466.0
2001-01-05,53.099998,55.0,49.759998,51.0,29.235334,600703.0
2001-01-08,50.0,50.75,49.560001,50.0,28.662081,217065.0
2001-01-09,50.299999,50.400002,48.099998,49.450001,28.346809,201324.0
2001-01-10,49.299999,49.299999,47.029999,47.509998,27.234711,302193.0
2001-01-11,48.099998,48.439999,45.509998,45.75,26.225809,425497.0
2001-01-12,46.900002,47.459999,44.669998,46.080002,26.414982,873022.0
2001-01-15,47.5,48.700001,46.75,48.049999,27.54427,116261.0
2001-01-16,48.75,48.75,47.849998,48.299999,27.687574,138564.0
2001-01-17,47.900002,49.950001,47.900002,49.77,28.530235,176898.0
2001-01-18,49.619999,49.619999,48.810001,49.0,28.088844,196621.0
2001-01-19,49.150002,49.5,47.150002,47.77,27.38376,110145.0
2001-01-22,48.27,48.990002,46.049999,46.599998,26.713062,176905.0
2001-01-23,47.0,47.099998,46.009998,46.02,26.380589,254458.0
2001-01-24,46.02,46.02,46.02,46.02,26.380589,0.0
2001-01-25,45.68,47.099998,44.299999,44.299999,25.394609,354379.0
2001-01-26,44.299999,44.299999,44.299999,44.299999,25.394609,0.0
2001-01-29,44.98,44.98,42.75,43.889999,25.159576,357983.0
2001-01-30,44.150002,45.73,43.709999,45.73,26.214348,326365.0
2001-01-31,45.799999,46.5,44.75,45.540001,26.105429,322368.0
2001-02-01,44.560001,45.450001,43.25,44.299999,25.394609,362960.0
2001-02-02,44.299999,44.700001,43.0,43.0,24.649389,286566.0
2001-02-05,43.299999,45.200001,43.299999,44.099998,25.279963,444198.0
2001-02-06,44.5,45.700001,44.060001,44.400002,25.451933,376115.0
2001-02-07,45.0,45.189999,43.5,43.799999,25.107988,242467.0
2001-02-08,44.5,45.299999,44.0,45.0,25.795885,397646.0
2001-02-09,45.299999,46.400002,44.599998,45.790001,26.248737,317678.0
2001-02-12,46.450001,46.689999,44.599998,45.049999,25.824537,244134.0
2001-02-13,45.200001,46.689999,44.91,46.0,26.36912,235649.0
2001-02-14,46.0,46.200001,44.52,45.169998,25.893328,144622.0
2001-02-15,45.240002,46.549999,45.240002,45.75,26.225809,165753.0
2001-02-16,45.650002,45.869999,44.150002,44.290001,25.388882,176990.0
2001-02-19,44.799999,46.34,44.439999,46.0,26.36912,182796.0
2001-02-20,46.0,46.580002,44.669998,45.959999,26.346182,201617.0
2001-02-21,44.869999,46.560001,44.130001,45.82,26.26593,214304.0
2001-02-22,45.91,45.91,44.099998,45.400002,26.025183,120607.0
2001-02-23,44.419998,44.790001,42.48,43.639999,25.01626,257647.0
2001-02-26,44.099998,45.689999,43.43,44.25,25.365952,1718633.0
2001-02-27,44.700001,45.490002,42.93,43.900002,25.165312,293465.0
2001-02-28,43.299999,44.900002,42.950001,43.610001,24.999075,176458.0
2001-03-01,43.59,46.5,43.18,46.490002,26.650015,399041.0
2001-03-02,45.950001,46.799999,43.5,43.650002,25.022003,182826.0
2001-03-05,44.200001,45.0,44.150002,44.220001,25.348751,126620.0
2001-03-06,44.400002,44.700001,43.5,44.700001,25.623901,270826.0
2001-03-07,44.700001,45.700001,43.799999,45.700001,26.197144,168359.0
2001-03-08,45.400002,46.5,44.25,45.0,25.795885,170846.0
2001-03-09,45.0,48.0,44.259998,45.599998,26.13982,415004.0
2001-03-12,45.5,46.689999,44.25,44.990002,25.790142,179984.0
2001-03-13,44.5,44.709999,42.700001,43.0,24.649389,242443.0
2001-03-14,43.0,43.0,43.0,43.0,24.649389,0.0
2001-03-15,44.049999,45.0,43.5,44.68,25.612438,299320.0
2001-03-16,45.490002,45.700001,44.150002,44.5,25.50926,273760.0
2001-03-19,45.0,45.5,44.119999,44.82,25.692694,157390.0
2001-03-20,44.900002,46.32,44.299999,44.900002,25.738552,275496.0
2001-03-21,44.5,45.950001,44.330002,44.900002,25.738552,430932.0
2001-03-22,44.349998,45.369999,43.509998,44.0,25.222643,300169.0
2001-03-23,44.200001,45.25,44.099998,44.799999,25.681229,327086.0
2001-03-26,44.900002,45.799999,44.099998,44.849998,25.709894,145495.0
2001-03-27,45.0,46.700001,44.799999,46.200001,26.483767,217525.0
2001-03-28,46.200001,46.669998,45.099998,46.290001,26.535362,231273.0
2001-03-29,45.360001,48.0,45.360001,47.900002,27.458273,303315.0
2001-03-30,47.5,48.0,46.299999,47.650002,27.31496,284995.0
2001-04-02,48.5,48.5,46.75,47.799999,27.400961,116944.0
2001-04-03,47.990002,47.990002,44.34,44.700001,25.623901,159288.0
2001-04-04,44.43,46.669998,43.509998,46.0,26.36912,261228.0
2001-04-05,46.889999,47.900002,44.5,47.599998,27.286295,438418.0
2001-04-06,47.889999,47.889999,44.560001,45.200001,25.910526,158182.0
2001-04-09,43.900002,48.099998,43.900002,47.0,26.942354,346349.0
2001-04-10,47.849998,47.849998,46.259998,46.259998,26.518154,358041.0
2001-04-11,46.110001,46.75,45.049999,46.0,26.36912,221375.0
2001-04-12,46.09,47.0,45.150002,46.639999,26.736,80343.0
2001-04-17,47.150002,47.84,45.049999,47.66,27.320698,187332.0
2001-04-18,48.0,48.810001,47.009998,48.529999,27.819424,330582.0
2001-04-19,48.5,49.0,46.110001,46.549999,26.684393,319676.0
2001-04-20,47.009998,47.400002,45.299999,45.799999,26.254471,188653.0
2001-04-23,45.799999,46.189999,45.0,45.689999,26.191412,153005.0
2001-04-24,46.0,46.799999,45.650002,46.029999,26.386309,333119.0
2001-04-25,46.349998,47.080002,45.099998,47.080002,26.988226,293520.0
2001-04-26,47.0,47.540001,46.060001,46.209999,26.489506,263715.0
2001-04-27,46.869999,48.0,46.200001,48.0,27.51561,435170.0
2001-04-30,47.34,47.68,46.32,46.950001,26.913708,260380.0
2001-05-02,46.619999,47.779999,46.459999,47.0,26.942354,215159.0
2001-05-03,47.400002,47.669998,44.700001,45.25,25.93919,251459.0
2001-05-04,45.380001,46.189999,43.799999,45.200001,25.910526,236760.0
2001-05-07,45.75,46.0,44.509998,45.959999,26.346182,137890.0
2001-05-08,45.349998,46.189999,45.169998,45.799999,26.254471,99276.0
2001-05-09,45.110001,46.09,44.299999,44.470001,25.492056,152877.0
2001-05-10,44.209999,45.080002,44.200001,44.799999,25.681229,259326.0
2001-05-11,44.790001,46.310001,44.709999,46.0,26.36912,251759.0
2001-05-14,46.310001,46.360001,44.5,44.59,25.560844,227517.0
2001-05-15,45.799999,47.0,45.0,45.599998,26.13982,1135908.0
2001-05-16,45.200001,47.5,45.200001,47.389999,27.165922,368920.0
2001-05-17,47.5,48.02,45.59,46.110001,26.432173,441714.0
2001-05-18,46.150002,47.490002,46.0,47.200001,27.057009,252367.0
2001-05-21,47.200001,48.240002,46.299999,47.380001,27.160187,282421.0
2001-05-22,48.209999,49.639999,48.02,49.029999,28.106043,364476.0
2001-05-23,48.990002,51.200001,48.799999,49.32,28.272274,346876.0
2001-05-24,49.900002,50.849998,49.259998,49.259998,28.23789,69809.0
2001-05-25,49.220001,49.790001,47.400002,47.400002,27.171654,147303.0
2001-05-28,47.950001,49.25,47.950001,48.220001,27.64171,388922.0
2001-05-29,48.5,48.919998,47.450001,47.900002,27.458273,353133.0
2001-05-30,47.900002,48.099998,46.509998,46.599998,26.713062,1013009.0
2001-05-31,46.5,48.5,46.5,48.310001,27.693317,399581.0
